Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Developing Front-End Apps with React,4.3,Intermediate level,14,Flexible schedule,340,"Develop interactive user interfaces (UIs) and web applications using React, JSX, and ES6.Build dynamic websites and front-end applications quickly and easily with reusable React components.  Communicate and exchange data with external services using GET, POST, UPDATE, and DELETE requests.Employ and work with various React concepts and features including props, states, hooks, forms, and Redux.","['React (Web Framework)', 'Front-end Development', 'Web Development', 'JavaScript', 'User Interface']","['Building Rich Front-End Applications with React and ES6 ', 'React Components', 'Advanced React', 'Final Project']",['IBM Skills Network Team'],['IBM'],DataScience,https://www.coursera.org/learn/developing-frontend-apps-with-react
Market Research Specialization,4.5,Beginner level,80,Flexible schedule,66,"Essentials of market research  Components of research proposal  and research processSampling approaches, data analysis and interpretation","['Analyse and interpret data', 'Develop a research proposal', 'Use qualitative and quantitative research methodologies', 'Manage the development and use of different research instruments']","['Introduction to Market Research', 'Research Methodologies', 'Research Instruments and Research Hypotheses', 'Analysis and Interpretation of Data']","['Evangelia Katsikea', 'Athanasia Lampraki']",['Queen Mary University of London'],DataScience,https://www.coursera.org/specializations/market-research-market-research
Google Data Analytics (DE) Professional Certificate,4.5,Beginner level,240,Flexible schedule,29,"Erhalten Sie Einblick in die Praktiken und Prozesse, die in Junior- oder Associate-Positionen in der Datenanalyse im Arbeitsalltag verwendet werden. Erlernen Sie analytische Skills (Datenbereinigung, -analyse, -visualisierung) und Tools (Tabellenkalkulationen, SQL, R-Programmierung, Tableau).Erfahren Sie, wie Sie Daten für die Analyse bereinigen und organisieren sowie Analysen und Berechnungen durchführen.Lernen Sie, wie Sie Datenergebnisse in Dashboards, Präsentationen und häufig verwendeten Visualisierungsplattformen visualisieren und präsentieren.","['Datenethik', 'Tabellenkalkulation', 'SQL', 'Datenerhebung', 'Metadaten', 'Datenanalyse', 'Datenvisualisierung (DataViz)', 'Kalkulationstabelle', 'Datenbereinigung', '-\tRstudio', '-\tDatenvisualisierung (DataViz)', '-\tR Markdown', '-\tR-Programmierung', '-\tDatenanalyse', '-\tPräsentation', '-\tTableau-Software', '-\tJob-Portfolio', '-\tFallstudie', '-\tDatenbereinigung', 'Problemlösung', 'Entscheidungsfindung', 'Fragestellung', 'Datenberechnungen', '-\tTabellenkalkulation', 'Datenaggregation', 'Bestimmung der Stichprobengröße', 'Datenintegrität']","['Grundlagen: Daten, überall Daten', 'Fragen Für Eine Datengesteuerte Entscheidungsfindung Stellen', 'Daten für die Erkundung Vorbereiten', 'Daten bereinigen', 'Daten Analysieren, um Fragen zu Beantworten', 'Daten über Visualisierungen teilen', 'R-Programmierung zur Datenanalyse', 'Eine Fallstudie Anfertigen']",['Google Career Certificates'],['Google'],DataScience,https://www.coursera.org/professional-certificates/google-data-analytics-de
Artificial Intelligence (AI) Education for Teachers,4.7,Beginner level,16,Flexible schedule,392,"Compare AI with human intelligence, broadly understand how it has evolved since the 1950s, and identify industry applicationsIdentify and use creative and critical thinking, design thinking, data fluency, and computational thinking as they relate to AI applicationsExplain how the development and use of AI requires ethical considerations focusing on fairness, transparency, privacy protection and complianceDescribe how thinking skills embedded in Australian curricula can be used to solve problems where AI has the potential to be part of the solution","['Ethical Awareness', 'Machine Learning', 'Thinking Skills', 'Design Thinking', 'Artificial Intelligence (AI)']","['Introduction', 'Knowledge Module: What is AI, History of AI, and Applications of AI', 'Skills Module - Part A: Design Thinking, and Critical and Creative Thinking', 'Skills Module — Part B: Data Fluency, and Computational Thinking', 'Values Module: Ethical Decision Making, and Bias Awareness', 'Conclusion']","['Dr Markus Powling', 'Dr Anne Forbes']","['Macquarie University', 'IBM']",DataScience,https://www.coursera.org/learn/artificial-intelligence-education-for-teachers
European Business Law  Specialization,4.8,Beginner level,40,Flexible schedule,322,Navigate and understand relevant laws and regulations regarding the internal European Union marketEstablishing and running a company within the European Union Constructing and presenting a persuasive legal argument Creating a competitive edge for a company and protecting and defending a company's inventions and products ,"['Compete on the Internal Market', 'Foreign Policy', 'Law', 'Legal Research', 'Business Law']","['European Business Law: Understanding the Fundamentals', 'European Business Law: Doing Business in Europe', 'European Business Law: Competing in Europe']","['Justin Pierce', 'Eduardo Gill Pedro', 'Anna Wiberg', 'Angelica Ericsson', 'Michael Bogdan', 'Hans Henrik Lidgard', 'Jörgen Hettne', 'Ulf Maunsbach', 'Xavier Groussot', 'Annegret Engel', 'Mia Rönnmar ', 'Sanja Bogojevic', 'Julian Nowag', 'Cécile Brokelind', 'Niklas Arvidsson', 'Magnus Schmauch']",['Lund University'],DataScience,https://www.coursera.org/specializations/european-business-law
Generative AI Essentials: Overview and Impact,4.7,Beginner level,3,Flexible schedule,33,Learn how generative AI worksExplore the benefits and drawbacks of generative AILearn how generative AI can integrate into our daily lives,"['Artificial Intelligence (AI)', 'ChatGPT', 'Generative AI']",['Generative AI Essentials: Overview and Impact'],['Center for Academic Innovation Experts'],['University of Michigan'],DataScience,https://www.coursera.org/learn/generative-ai-essentials
Python Project for Data Engineering,4.6,Intermediate level,9,Flexible schedule,544,"Demonstrate your skills in Python for working with and manipulating dataImplement webscraping and use APIs to extract data with PythonPlay the role of a Data Engineer working on a real project to extract, transform, and load dataUse Jupyter notebooks and IDEs to complete your project","['Python Programming', 'Information Engineering', 'Extract Transform and Load (ETL)', 'Data Engineer', 'Web Scraping']","['Extract, Transform, Load (ETL)', 'Final Project', '[Optional] Python Coding Practices and Packaging Concepts']","['Joseph Santarcangelo', 'Abhishek Gagneja', 'Ramesh Sannareddy']",['IBM'],DataScience,https://www.coursera.org/learn/python-project-for-data-engineering
Python Programming Fundamentals,3.4,Beginner level,23,Flexible schedule,17,"Utilize a Logical Seven Step framework to create algorithms and programsCreate useful test cases and efficiently debug Python code.Master Python basics (conditionals, loops, mathematical operators, data types)Develop a Python Program from scratch to solve a given data science problem.","['Computer Programming', 'Algorithms', 'Python Programming', 'Problem Solving', 'Debugging']","['Algorithm Design', 'Translating Ideas into Code', 'Validating Your Code', 'Diving Deeper with Lists']","['Kyle Bradbury', 'Genevieve M. Lipp', 'Andrew D. Hilton', 'Nick Eubank']",['Duke University'],DataScience,https://www.coursera.org/learn/python-programming-fundamentals
Цифровий маркетинг і електронна комерція від Google Professional Certificate,4.9,Beginner level,160,Flexible schedule,1484,"Ви вивчите основи цифрового маркетингу та електронної комерції та отримаєте навички, необхідні для роботи на рівні початківцяВи навчитесь привертати увагу клієнтів та залучати їх за допомогою цифрових маркетингових каналів, як-от пошукові системи та електронна поштаВи зможете вимірювати ефективність маркетингової діяльності за допомогою аналітики та найновіших знаньВи навчитесь створювати інтернет-магазини, аналізувати ефективність роботи в Інтернеті та підвищувати лояльність клієнтів","['Маркетинг електронною поштою', 'Search Engine Optimization (SEO)', 'Електронна комерція', 'Медійна реклама', 'Маркетинг']","['Основи цифрового маркетингу та електронної комерції', 'Залучення клієнтів за допомогою цифрового маркетингу', 'Від уподобань до потенційних клієнтів: взаємодія з клієнтами онлайн', 'Нестандартні рішення в маркетингу електронною поштою', 'Оцінка успішності: маркетингова аналітика та вимірювання', 'Здійснення продажів: створення й запуск магазинів електронної комерції, а також керування ними', 'Задоволення гарантовано: розвиток лояльності клієнтів онлайн']",['Google Career Certificates'],['Google'],DataScience,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce-ua
Oracle SQL Databases Specialization,4.6,Beginner level,40,Flexible schedule,434,"Learn how to create Oracle SQL DatabasesUnderstand how to insert, modify, and delete from Oracle SQL Databases","['Insert and Modify Oracle SQL Databases', 'Delete from Oracle SQL Databases', 'Create Oracle SQL Databases']","['Oracle Database Foundations', 'Oracle Database Platform', 'Oracle SQL Basics', 'Oracle SQL Proficiency']",['Rafiq Wayani'],['LearnQuest'],DataScience,https://www.coursera.org/specializations/oracle-sql-databases
Advanced React,4.7,Intermediate level,26,Flexible schedule,875,Create robust and reusable components with advanced techniques and learn different patterns to reuse common behaviorInteract with a remote server and fetch and post data via an APISeamlessly test React applications with React Testing LibraryIntegrate commonly used React libraries to streamline your application development,"['Unit Testing', 'React (Web Framework)', 'Front-End Web Development']","['Components', 'React Hooks and Custom Hooks', 'JSX and testing', 'Final project']",['Taught by Meta Staff'],['Meta'],DataScience,https://www.coursera.org/learn/advanced-react
Health Information Literacy for Data Analytics Specialization,4.5,Intermediate level,40,Flexible schedule,153,"Analyze the various types and sources of healthcare data, including clinical, operational, claims, and patient generated data.Compare and contrast common data models used in healthcare data systems.Assess the quality of healthcare data and make appropriate interpretations of meaning according to data sources and intended uses.Create a data dictionary to communicate the source and value of data.","['Data Model', 'healthcare terminology', 'healthcare data']","['Healthcare Data Literacy', 'Healthcare Data Models', 'Healthcare Data Quality and Governance', 'Analytical Solutions to Common Healthcare Problems']","['Brian Paciotti', 'Doug Berman']","['University of California, Davis']",DataScience,https://www.coursera.org/specializations/healthcare-information-literacy-data-analytics
Developing APIs with Google Cloud's Apigee API Platform Specialization,4.7,Intermediate level,40,Flexible schedule,2474,"Develop a good understanding of Google Cloud's Apigee API platform features and organizational model.Learn how to design APIs and deploy them to the Apigee API platform.Understand how to productize and publish APIs.Gain a deep understanding of API security, including OAuth, JSON Web Tokens, and federated identity.","['Apigee API Platform', 'REST API design', 'OpenAPI specifications', 'API security', 'Oauth']","[""API Design and Fundamentals of Google Cloud's Apigee API Platform"", ""API Security on Google Cloud's Apigee API Platform"", ""API Development on Google Cloud's Apigee API Platform""]",['Google Cloud Training'],['Google Cloud'],DataScience,https://www.coursera.org/specializations/apigee-api-gcp
Data Analytics in the Public Sector with R Specialization,4.8,Intermediate level,80,Flexible schedule,37,"Use the R programming language to gather, manipulate, analyze, visualize, and interpret dataIdentify and address common political and ethical challenges in data analysisInterpret data to inform public policy and public administrative functions using hands-on activities with real-world data sets","['Public Policy', 'Data Analysis', 'Ggplot2', 'Data Visualization', 'Rstudio']","['Fundamentals of Data Analytics in the Public Sector with R', 'Exploratory Data Analysis for the Public Sector with ggplot', ' Assisting Public Sector Decision Makers With Policy Analysis', 'Politics and Ethics of Data Analytics in the Public Sector']","['Christopher Brooks', 'Paula Lantz']",['University of Michigan'],DataScience,https://www.coursera.org/specializations/data-analytics-in-the-public-sector-with-r
Spacecraft Dynamics and Control Specialization,4.8,Advanced level,120,Flexible schedule,309,"Apply transport theorem to differentiate vectors, derive frame dependent velocity and acceleration vectors, and solve kinematic particle problems, Translate between sets of attitude descriptions; add and subtract relative attitude descriptions for the movement of rigid bodiesApply the static stability conditions of a dual-spinner configuration to derive equations of motion for rigid bodies with momentum exchange devicesApply Lyapunov method to argue stability and convergence on a range of systems, analyze rigid body control convergence with unmodeled torque","['attitude dynamics', 'control of nonlinear attitude', 'kinetics', 'spacecraft motion', 'kinematics']","['Kinematics: Describing the Motions of Spacecraft', 'Kinetics: Studying Spacecraft Motion', 'Control of Nonlinear Spacecraft Attitude Motion', 'Spacecraft Dynamics Capstone: Mars Mission']",['Hanspeter Schaub'],['University of Colorado Boulder'],DataScience,https://www.coursera.org/specializations/spacecraft-dynamics-control
"Sleep: Neurobiology, Medicine, and Society",4.8,Beginner level,21,Flexible schedule,727,Understand how sleep and the brain are connected.Become familiar with major sleep disorders that impact daily life.Explore the long-term negative health consequences of inadequate sleep.,"['Sleep', 'Public Health']","['Unit 01 - Neurobiology Section: Course Introduction & Neurobiology of Sleep and Wakefulness (Part One) - (Standard Track & Honors Track) ', 'Unit 02 - Neurobiology Section: Neurobiology of Sleep and Wakefulness (Part Two) - (Honors Track)', 'Unit 03 - Neurobiology: Mathematical Modeling of Sleep-Wake Regulation - (Honors Track)', 'Unit 04 - Neurobiology: Molecular Biology and Genetics of Sleep - (Honors Track)', 'Unit 05 - Medicine: Overview of Sleep Medicine - Ronald Chervin, M.D. - (Standard Track)', 'Unit 06 - Medicine: Disordered Sleep and Breathing Alters Cardiovascular Health - (Standard Track)', 'Unit 07 - Medicine: Sleep and Psychiatric Disorders - (Standard Track)', 'Unit 08 - Medicine: Insomnia: Causes and Consequences - (Standard Track)', 'Unit 09 - Medicine: Treatments for Insomnia - (Standard Track)', 'Unit 10 - Medicine: Sleep and Anesthesia - (Standard Track)', 'Unit 11 - Society: Circadian Rhythms, Sleep, and Health - (Standard Track)', 'Unit 12 - Society: Daytime Sleepiness and Sleep Need - Thomas Roth, Ph.D. (Standard Track)']","['Ralph Lydic, Ph.D.', 'Helen Baghdoyan, Ph.D.']",['University of Michigan'],DataScience,https://www.coursera.org/learn/sleep
Gender Analytics: Gender Equity through Inclusive Design Specialization,4.9,Beginner level,40,Flexible schedule,346,"Examine how policies, products, services & processes have gendered  outcomes that miss out on opportunities or create needless risksGet comfortable with concepts such as sex, gender, gender identity & intersectionality; and how seeing through these lenses can lead to innovationLearn qualitative & quantitative analytical techniques to uncover intersectional gender-based insights, paying special attention to unheard voicesUse human-centred design to create innovative solutions that will help you become a transformational leader","['Data Analysis', 'Analytics', 'Leadership', 'Gender Based Analysis', 'Design Thinking']","['Gender Analytics for Innovation', 'Inclusive Analytic Techniques', 'Human-Centered Design for Inclusive Innovation', 'Transformational Leadership for Inclusive Innovation', 'Gender Analytics Capstone Project']","['Chanel Grenaway', 'Mark Leung', 'Nika Stelman', 'Jia-Lin Xie', 'Sarah Kaplan', 'Karen Sihra, PhD', 'Nouman Ashraf', 'Brian Silverman']",['University of Toronto'],DataScience,https://www.coursera.org/specializations/gender-analytics
SAS Advanced Programmer Professional Certificate,4.8,Intermediate level,80,Flexible schedule,294,"Process data using Structured Query Language in the SAS environment    Use the SAS macro facility to design, write, and debug dynamic macro programs  Use advanced DATA step techniques and procedures to manipulate data    ",[],"['Structured Query Language (SQL) using SAS ', 'SAS Macro Language', 'Advanced SAS Programming Techniques']","['Michele Ensor', 'Stacey Syphus', 'Peter Styliadis']",['SAS'],DataScience,https://www.coursera.org/professional-certificates/sas-advanced-programmer
"Introduction to Trading, Machine Learning & GCP",4.0,Intermediate level,9,Flexible schedule,802,"Understand the fundamentals of trading, including the concepts of trend, returns, stop-loss, and volatility.Define quantitative trading and the main types of quantitative trading strategies.Understand the basic steps in exchange arbitrage, statistical arbitrage, and index arbitrage.Understand the application of machine learning to financial use cases.","['Machine Learning applied to Finance', 'Finance', 'Trading', 'Investment']","['Introduction to Trading with Machine Learning on Google Cloud', 'Supervised Learning with BigQuery ML', 'Time Series and ARIMA Modeling', 'Introduction to Neural Networks and Deep Learning']",['Jack Farmer'],"['Google Cloud', 'New York Institute of Finance']",DataScience,https://www.coursera.org/learn/introduction-trading-machine-learning-gcp
The Nuts and Bolts of Machine Learning,4.8,Advanced level,37,Flexible schedule,218,Identify characteristics of the different types of machine learning Prepare data for machine learning models Build and evaluate supervised and unsupervised learning models using PythonDemonstrate proper model and metric selection for a machine learning algorithm,"['Stack Overflow', 'Python Programming', 'Machine Learning', 'Effective Communication', 'Predictive Modelling']","['The different types of machine learning', 'Workflow for building complex models', 'Unsupervised learning techniques', 'Tree-based modeling', 'Course 6 end-of-course project']",['Google Career Certificates'],['Google'],DataScience,https://www.coursera.org/learn/the-nuts-and-bolts-of-machine-learning
Computational Social Science Specialization,4.7,Beginner level,80,Flexible schedule,536,"Discover how social networks and human dynamics create social systems and recognizable patternsDefine and discuss big data opportunities and limitationsWeb scrape online data, create a social network visualization with it, and use machine learning to analyze its content  Use computer simulations to program your own artificial societies to explore business strategies and policy options",[],"['Computational Social Science Methods', 'Big Data, Artificial Intelligence, and Ethics', 'Social Network Analysis', 'Computer Simulations', 'Computational Social Science Capstone Project']",['Martin Hilbert'],"['University of California, Davis']",DataScience,https://www.coursera.org/specializations/computational-social-science-ucdavis
TensorFlow: Data and Deployment Specialization,4.7,Intermediate level,40,Flexible schedule,1308,"Run models in your browser using TensorFlow.jsPrepare and deploy models on mobile devices using TensorFlow LiteAccess, organize, and process training data more easily using TensorFlow Data ServicesExplore four advanced deployment scenarios using TensorFlow Serving, TensorFlow Hub, and TensorBoard","['Tensorflow', 'Object Detection', 'Machine Learning', 'JavaScript', 'advanced deployment']","['Browser-based Models with TensorFlow.js', 'Device-based Models with TensorFlow Lite', 'Data Pipelines with TensorFlow Data Services', 'Advanced Deployment Scenarios with TensorFlow']",['Laurence Moroney'],['DeepLearning.AI'],DataScience,https://www.coursera.org/specializations/tensorflow-data-and-deployment
Introduction to Relational Databases (RDBMS),4.6,Beginner level,21,Flexible schedule,490,"Describe data, databases, relational databases, and cloud databases.Describe information and data models, relational databases, and relational model concepts (including schemas and tables). Explain an Entity Relationship Diagram and design a relational database for a specific use case.Develop a working knowledge of popular DBMSes including MySQL, PostgreSQL, and IBM DB2","['Database (DB) Design', 'Postgresql', 'Relational Database Management System (RDBMS)', 'Database Architecture', 'MySQL']","['Relational Database Concepts', 'Using Relational Databases', 'MySQL and PostgreSQL', 'Course Assignment']","['Rav Ahuja', 'Sandip Saha Joy']",['IBM'],DataScience,https://www.coursera.org/learn/introduction-to-relational-databases
Building Scalable Java Microservices with Spring Boot and Spring Cloud,4.3,Intermediate level,12,Flexible schedule,1232,"Build Spring Boot microservices that consume Google Cloud managed servicesSend and receive messages with Pub/Sub and Spring Integration.Use Cloud SQL as a managed relational database for your Java applications, and migrate to Cloud SpannerImplement distributed tracing by using Cloud Trace",[],"['Course introduction', 'Introduction to Google Cloud Services and Spring Boot', 'Building the Demo Application']",['Google Cloud Training'],['Google Cloud'],DataScience,https://www.coursera.org/learn/google-cloud-java-spring
Introduction to FPGA Design for Embedded Systems,4.6,Intermediate level,18,Flexible schedule,1129,Describe what an FPGA is and how this technology was developedDetermine how to select the best FPGA architecture for a given applicationUse state of the art software tools for FPGA development and solve critical digital design problems using FPGAs,"['Primality Test', 'Verilog', 'Digital Design', 'Static Timing Analysis']","[""What's this programmable logic stuff anyway?  History and Architecture "", 'FPGA Design Tool Flow; An Example Design', 'FPGA Architectures:  SRAM, FLASH, and Anti-fuse', 'Programmable logic design using schematic entry design tools']",['Timothy Scherr'],['University of Colorado Boulder'],DataScience,https://www.coursera.org/learn/intro-fpga-design-embedded-systems
First Order Optical System Design,4.3,Advanced level,21,Flexible schedule,304,"be able to design, to first order, such optical systems with simple mathematical and graphical techniques",[],"['Introduction to Geometrical Optics', 'Optical System Design in OpticStudio', 'First Order Ray Tracing', 'Thick Optics and Mirrors', 'First-Order Ray Tracing of Multi-Element Systems']",['Robert McLeod'],['University of Colorado Boulder'],DataScience,https://www.coursera.org/learn/first-order-optical-system-design
"Everyday Excel, Part 1",4.7,Beginner level,23,Flexible schedule,3257,"Navigating Excel, editing the worksheet (including inserting/deleting cells, columns, and rows), and cell formatting.Expression entry and common Excel formulas (including logical functions, text functions, and financial functions).Data management (sorting, filtering, consolidating, removing duplicates, data validation, and one-way lookups).Data visualization (scatter plots, column charts, pie charts, Slicers, Sparklines, and Pivot Tables).","['Spreadsheet', 'Microsoft Excel', 'Problem Solving', 'Data Management', 'Real World']","['Navigating Excel', 'Expression Entry and Common Excel Functions', 'More Excel functions', 'Managing Data', ' Plotting, Importing Data, and Converting to Other File Types']",['Charlie Nuttelman'],['University of Colorado Boulder'],DataScience,https://www.coursera.org/learn/everyday-excel-part-1
IBM Data Analyst Capstone Project,4.6,Intermediate level,17,Flexible schedule,1016,Apply different techniques to collect and wrangle dataShowcase your Data Analysis and Visualization skills Create a data analysis report and a compelling presentationDemonstrate proficiency with various Python Libraries,"['Data Analysis', 'Python Programming', 'Dashboard', 'Data Visualization', 'SQL and RDBMS']","['Data Collection', 'Data Wrangling', 'Exploratory Data Analysis', 'Data Visualization', 'Building A Dashboard', 'Final Assignment: Present Your Findings']",['Rav Ahuja'],['IBM'],DataScience,https://www.coursera.org/learn/ibm-data-analyst-capstone-project
Using Databases with Python,4.8,Beginner level,14,Flexible schedule,21137,"Use the Create, Read, Update, and Delete operations to manage databasesExplain the basics of Object Oriented PythonUnderstand how data is stored across multiple tables in a databaseUtilize the Google Maps API to visualize data","['Python Programming', 'Database (DBMS)', 'Sqlite', 'SQL']","['Object Oriented Python', 'Basic Structured Query Language', 'Data Models and Relational SQL', 'Many-to-Many Relationships in SQL', 'Databases and Visualization']",['Charles Russell Severance'],['University of Michigan'],DataScience,https://www.coursera.org/learn/python-databases
Communication Strategies for a Virtual Age,4.8,Beginner level,7,Flexible schedule,4262,Apply communication principles and techniques for in-person and virtual teamsUse a science based approach to create impactful presentationsRefine your communication style to better persuade and influence othersRun more effective and impactful meetings,"['Communication Theory', 'conflict resolution', 'Meeting', 'Public Speaking']","['Introduction to Virtual Teams and Virtual Communication', 'Virtual Meetings: Boring to Awesome', 'Influence, Power and Questioning Strategies in Virtual Collaboration', 'Speaking and Presenting in a virtual context']",['Ivan Wanis Ruiz'],['University of Toronto'],DataScience,https://www.coursera.org/learn/communication-strategies-virtual-age
Weight Management: Beyond Balancing Calories,4.7,Beginner level,17,Flexible schedule,1088,"Understand obesity, appetite hormones, and weight set point.Identify the main dietary factors that affect weight.Recognize underemphasized barriers to weight loss such as stress and inadequate sleep.Develop a weight management plan you can follow for life.",[],"['Understanding Obesity', 'Managing Obesity: The Role of Diet', 'Beyond Diet: The Role of Stress, Exercise, & Sleep', 'Using Habit & Emotions to Your Advantage', 'Creating a Weight Loss Plan: A Step-Wise Approach']","['Sharon Horesh Bergquist, MD']",['Emory University'],DataScience,https://www.coursera.org/learn/weight-management-beyond-balancing-calories
5G for Everyone,4.8,Beginner level,13,Flexible schedule,343,"Gain an in-depth understanding of how 5G is revolutionizing the way we do business in the 2020s.Learn about the technologies that make 5G possible, including mmWave, Massive MIMO, RAN, and more.Learn how companies can take advantage of 5G Private Networks and Industrial IoT to transform the way they operate on a daily basis.Gain the base-level knowledge of 5G you need to continue your wireless education and advance in the rapidly-growing field of wireless technology.","['Wireless Network', 'Massive MIMO', 'Industrial IoT', '5G', 'mmWave']","['Wireless and Cellular Communications Overview', 'What is 5G and Why Do We Need It?', '5G Network and Features', '5G Spectrum and mmWave', 'Massive MIMO', '5G Radio Access Network (RAN)', '5G Private Networks and Industrial IoT', '5G Security']",['Nakul H. Navarange'],['Qualcomm Academy'],DataScience,https://www.coursera.org/learn/5g-training-qualcomm
Programación en Python,4.5,Beginner level,59,Flexible schedule,125,"Comprender y usar conceptos de programación como algoritmo, variable, función, parámetro, estructura de control y de datos e implementarlos en PythonDiseñar, crear y probar programas completos en Python para resolver problemas de la vida realManejar archivos y estructuras de datos complejas para manipular grandes volúmenes de informaciónUtilizar librerías especializadas como pandas y matplotlib para manipular conjuntos de datos y visualizarlos","['Python Programming', 'Pensamiento computacional', 'Abstracción', 'Programación', 'Diseño de software']","['Módulo 1: Descubriendo el mundo de la programación', 'Módulo 2: Tomando decisiones', 'Módulo 3: Repitiendo acciones y manejando estructuras de datos', 'Módulo 4: Solucionando problemas con matrices y librerías']","['Andrés Felipe Melani De La Hoz', 'Mario Sánchez Puccini', 'Marcela Hernández Hoyos', 'Natalia Franco', 'Andrea Herrera Suescún']",['Universidad de los Andes'],DataScience,https://www.coursera.org/learn/programacion-python
Web3 and Blockchain in Global Commerce Specialization,4.6,Beginner level,80,Flexible schedule,44,"What blockchain is, how it works, and the ways it intersects with other technologies, industries, functions, and the broader Web3 ecosystemBlockchain solutions for provenance, traceability, ethical sourcing, distributed manufacturing, digital twins, and asset life-cycle managementThe importance of standards, interoperability, regulation, governance, consortia, and “coopetition” for advancing blockchain innovation and adoptionHow to identify, review, and evaluate business opportunities and challenges related to blockchain in global commerce",[],"['Introduction to Blockchain for Global Commerce', 'Web3 and Blockchain Transformations in Global Supply Chains', 'Web3 and Blockchain Leadership for Transformation', 'Blockchain Opportunity Analysis for Global Commerce']","[' Alisa Acosta', 'Alex Tapscott', 'Don Tapscott']",['INSEAD'],DataScience,https://www.coursera.org/specializations/web3-blockchain-global-commerce
Real-World Engineering Management Specialization,4.8,Beginner level,40,Flexible schedule,30,"What elite engineering managers do: maximize both ""manager quality"" and ""manager effectiveness,"" exceed hiring quotas, and adopt and finish goals.Cultivate elite engineers using: team automation, agile methodologies, coaching, 1-on-1s, longitudinal tracking, recognition, and promotion.Turn around poor performers using: feedback; managing disagreements, conflicts, and escalations; and receiving and giving corrections of errors.What technical program managers (TPMs) do, how to partner with them on complex projects, and how to become a director of engineering or general manager.","['Technical Program Management', 'Engineering Manager Interviews', 'Technology Leadership', 'Real-World Examples', 'Engineering management']","['Leadership Principles for Software Engineers', 'Inspiring Peak Performance on Technical Teams', 'Building Products at Global Scale']","['Gordon Yu', 'Nancy Wang']",['Advancing Women in Tech'],DataScience,https://www.coursera.org/specializations/real-world-engineering-management
Introduction to Intellectual Property,4.8,Beginner level,15,Flexible schedule,878,Identify the various forms of intellectual property protection available under U.S. Law Differentiate the advantages and disadvantages of intellectual property administration Analyze effective intellectual property strategies through case studiesExamine alternatives to formal intellectual property protections ,"['Brand Management', 'Asset Management', 'Value Proposition', 'Intellectual Property']","['Existing Intellectual Property Protection in the U.S.', 'Philosophical and Economic Justifications of IP Rights', 'Alternatives to Intellectual Property Law', 'Case Studies in Intellectual Property']",['R. Polk Wagner'],['University of Pennsylvania'],DataScience,https://www.coursera.org/learn/introduction-intellectual-property
Introduction to Business Analytics,4.7,Beginner level,14,Flexible schedule,114,Demonstrate a foundational knowledge of the business analyst role.Explain the foundational project management topics and skills used by a BI analyst.Describe data literacy and its importance for a BI analyst.,"['Data Analytics Lifecycle', 'Foundational Project Management', 'Data Literacy']","['Introduction to Business Analytics', 'Data Analytics Lifecycle', 'Project Management for Analysts', 'Data Literacy']",['Tableau Learning Partner Instructor '],['Tableau Learning Partner'],DataScience,https://www.coursera.org/learn/introduction-to-business-analytics
ASP.NET for Experienced Developers Specialization,3.9,Intermediate level,60,Flexible schedule,117,"Master C# fundamentals and advanced topics like LINQ, delegates, inheritance, and encapsulation to build robust .NET applications. Learn backend development using ASP.NET, creating scalable applications using ASP.NET Core, MVC, and Web API for diverse use cases. Understand microservices architecture with .NET Core, focusing on design, implementation, and integration with databases and systems.  Learn to utilize Docker for .NET Core applications, streamlining deployment processes and managing applications efficiently. ","['Heterogeneous Database System', 'Asp.Net Core', 'Microservices Architecture', 'Model–View–Controller (MVC)', 'Docker', 'Dockerfile Creation', 'Front And Back Ends', 'Devops', 'C Sharp (C#) (Programming Language)', 'asp.net', 'Object-Oriented Programming (OOP)', 'RESTful APIs']","['C# for .NET Developers', 'Backend Development using ASP.Net', 'Microservices and Deployment by using ASP.NET']",['Board Infinity'],['Board Infinity '],DataScience,https://www.coursera.org/specializations/asp-dot-net-experience
Legal Tech and the Digital Transformation of Law,4.5,Beginner level,14,Flexible schedule,58,"An overview of the legaltech market with its key actors and protagonists.The impact of new digital technologies on law firms, in-house lawyers and justice systems.The key market trends to guide your career towards the future of the legal industry.","['administration of justice.', 'technological and regulatory context', 'digital transformation of law', 'legal software prototypes', 'blockchain and artificial intelligence']","['Module 1: Law in the Context of the Digital Revolution.', 'Module 2. The Disruption of Artificial Intelligence in Law.', 'Module 3. Blockchain Disruption in Law.', 'Module 4. Innovation for Access to Justice.', 'Module 5. Your Transformation into a Digital Lawyer.']",['Federico Ast'],['Universidad Austral'],DataScience,https://www.coursera.org/learn/legal-tech-digital-transformation-of-law
Fundamentals of Visualization with Tableau,4.5,Beginner level,10,Flexible schedule,6466, Install Tableau Public Software and create a visualization Examine and navigate the Tableau Public workspace Practice and connect to different data sources Examine ways to define your project,"['Visualization (Computer Graphics)', 'Tableau Software', 'Data Virtualization', 'Data Visualization']","['Data Visualization and Its Importance', 'Getting to Know Tableau for Data Visualization', ""Let's Make a Viz!"", 'Tableau Community Projects and Visualization Best Practices']","[""Desiree' Abbott""]","['University of California, Davis']",DataScience,https://www.coursera.org/learn/data-visualization-tableau
